Week,Team 1,Score 1,Score 2,Team 2,,Manager,Division
1,TEAM 3,,,TEAM 6,,TEAM 1,Baker
1,TEAM 5,,,TEAM 1,,TEAM 2,Adams
1,TEAM 11,,,TEAM 4,,TEAM 3,Adams
1,TEAM 9,,,TEAM 7,,TEAM 4,Rainier
1,TEAM 8,,,TEAM 2,,TEAM 5,Rainier
1,TEAM 12,,,TEAM 10,,TEAM 6,Baker
2,,,,,,TEAM 7,Baker
2,,,,,,TEAM 8,Baker
2,,,,,,TEAM 9,Rainier
2,,,,,,TEAM 10,Adams
2,,,,,,TEAM 11,Adams
2,,,,,,TEAM 12,Rainier
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
3,,,,,,,
4,,,,,,,
4,,,,,,,
4,,,,,,,
4,,,,,,,
4,,,,,,,
4,,,,,,,
5,,,,,,,
5,,,,,,,
5,,,,,,,
5,,,,,,,
5,,,,,,,
5,,,,,,,
6,,,,,,,
6,,,,,,,
6,,,,,,,
6,,,,,,,
6,,,,,,,
6,,,,,,,
7,,,,,,,
7,,,,,,,
7,,,,,,,
7,,,,,,,
7,,,,,,,
7,,,,,,,
8,,,,,,,
8,,,,,,,
8,,,,,,,
8,,,,,,,
8,,,,,,,
8,,,,,,,
9,,,,,,,
9,,,,,,,
9,,,,,,,
9,,,,,,,
9,,,,,,,
9,,,,,,,
9,,,,,,,
10,,,,,,,
10,,,,,,,
10,,,,,,,
10,,,,,,,
10,,,,,,,
10,,,,,,,
11,,,,,,,
11,,,,,,,
11,,,,,,,
11,,,,,,,
11,,,,,,,
11,,,,,,,
12,,,,,,,
12,,,,,,,
12,,,,,,,
12,,,,,,,
12,,,,,,,
12,,,,,,,
13,,,,,,,
13,,,,,,,
13,,,,,,,
13,,,,,,,
13,,,,,,,
13,,,,,,,
14,,,,,,,
14,,,,,,,
14,,,,,,,
14,,,,,,,
14,,,,,,,
14,,,,,,,
