Seed,Manager,Division,W,L,Div_W,Div_L,PF,PA,Playoff_Prob
1,TEAM 9,Rainier,2,0,0,0,133.69,121.51,64.2%
2,TEAM 1,Baker,2,0,0,0,132.85,119.72,63.8%
3,TEAM 2,Adams,2,0,0,0,118.14,102.96,55.8%
4,TEAM 3,Adams,2,0,0,0,117.45,107.93,55.4%
5,TEAM 7,Baker,1,1,0,0,121.51,133.69,54.2%
6,TEAM 5,Rainier,1,1,0,0,119.72,132.85,53.1%
7,TEAM 12,Rainier,1,1,0,0,103.05,103.01,42.8%
8,TEAM 6,Baker,0,2,0,0,107.93,117.45,42.4%
9,TEAM 4,Rainier,0,1,0,0,106.49,106.49,43.0%
10,TEAM 11,Adams,0,1,0,0,106.49,106.49,43.0%
11,TEAM 10,Adams,0,2,0,0,103.01,103.05,39.2%
12,TEAM 8,Baker,0,2,0,0,102.96,118.14,39.1%
